Sr. No.,Work category,Work ID,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,Sanction Amount,clean_id,total_disbursed,expenditure_records,vendor_count,completed_disbursed,completion_date,completed,effective_disbursed,spending_percentage,recommendation_delay_days,completion_duration_days,cost_vs_category,cost_vs_state,amount_per_payment,description_clean,duplicate_description_count,max_vendor_project_count,status_text,incomplete,physical_inspection,partially_completed,anomaly,anomaly_score,AI Risk,AI Reasons
6053,Normal/Others,WS/MP18095/2025-2026/147401-Purchase of vans and buses for educational institutions,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),K. C VENUGOPAL,ALAPPUZHA,"Purchase of a bus for K V Kumaran Vaidyan Memorial UPS, Cheriyazheekkal",2024-10-22,2025-08-11,2100000.0,Work partially Completed,2100000.0,WS/MP18095/2025-2026/147401,63519.0,1.0,1.0,0.0,,0,63519.0,3.024714285714286,293.0,0.0,7.0,9.55279282721727,63519.0,purchase of a bus for k v kumaran vaidyan memorial ups cheriyazheekkal,1.0,1,work partially completed,1,0,1,-1,-0.14821785862994918,REVIEW,Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Project is partially completed
2853,Normal/Others,WS/MP18221/2025-2026/140942-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140942,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2865,Normal/Others,WS/MP18221/2025-2026/140955-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140955,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2870,Normal/Others,WS/MP18221/2025-2026/140960-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast LIght,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140960,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2852,Normal/Others,WS/MP18221/2025-2026/140941-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140941,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2873,Normal/Others,WS/MP18221/2025-2026/140963-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast LIght,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140963,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2859,Normal/Others,WS/MP18221/2025-2026/140948-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140948,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2856,Normal/Others,WS/MP18221/2025-2026/140945-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140945,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2861,Normal/Others,WS/MP18221/2025-2026/140950-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140950,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2860,Normal/Others,WS/MP18221/2025-2026/140949-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140949,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2854,Normal/Others,WS/MP18221/2025-2026/140943-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140943,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2862,Normal/Others,WS/MP18221/2025-2026/140951-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140951,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2847,Normal/Others,WS/MP18221/2025-2026/140936-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140936,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2851,Normal/Others,WS/MP18221/2025-2026/140940-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS Pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140940,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2863,Normal/Others,WS/MP18221/2025-2026/140952-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140952,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
2864,Normal/Others,WS/MP18221/2025-2026/140954-Lighting of public spaces,Uttar Pradesh,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),MS pole with LED Semi High Mast Light,2024-09-15,2025-06-06,243000.0,Vendor Identification,243000.0,WS/MP18221/2025-2026/140954,97173.0,1.0,1.0,0.0,,0,97173.0,39.98888888888889,264.0,0.0,0.81,1.0286410931533987,97173.0,ms pole with led semi high mast light,150.0,22,vendor identification,1,0,0,-1,-0.14785737226770346,REVIEW,Unusually long recommendation-to-sanction delay; Similar project description appears multiple times; Vendor is associated with a large number of projects
5096,Normal/Others,"WS/MP18209/2025-2026/145458-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),CHANDAN CHAUHAN,BIJNOR,CC Road and drain construction work of the road from Paltu's house to Rakesh house in Kallarpur village,2024-12-17,2026-01-31,312700.0,Work partially Completed,312700.0,WS/MP18209/2025-2026/145458,113391.0,2.0,2.0,0.0,,0,113391.0,36.26191237607931,410.0,0.0,1.0423333333333333,1.323687530160773,56695.5,cc road and drain construction work of the road from paltus house to rakesh house in kallarpur village,1.0,10,work partially completed,1,0,1,-1,-0.14590733805225897,REVIEW,Unusually long recommendation-to-sanction delay; Project is partially completed
1891,Normal/Others,WS/MP18095/2025-2026/139279-Purchase of vans and buses for educational institutions,Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,ALAPPUZHA,"Purchase of a bus for Lutheran Mission LPS, Muhamma",2024-09-06,2025-07-08,1929021.0,Work partially Completed,1929021.0,WS/MP18095/2025-2026/139279,56755.0,1.0,1.0,0.0,,0,56755.0,2.9421660002664565,305.0,0.0,6.43007,8.775018082072137,56755.0,purchase of a bus for lutheran mission lps muhamma,1.0,1,work partially completed,1,0,1,-1,-0.14428024848068444,REVIEW,Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Project is partially completed
4185,Normal/Others,"WS/MP18307/2025-2026/143610-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,"Ward 13 - Construction of Drainge  and CC Passage, Pavour block at Motiram Mishra Chawl Borivali (East)",2024-09-25,2026-01-30,1500000.0,Work partially Completed,1500000.0,WS/MP18307/2025-2026/143610,1498861.0,1.0,1.0,0.0,,0,1498861.0,99.92406666666666,492.0,0.0,5.0,1.5,1498861.0,ward 13 construction of drainge and cc passage pavour block at motiram mishra chawl borivali east,1.0,1,work partially completed,1,0,1,-1,-0.14421421401394363,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Unusually long recommendation-to-sanction delay; Project is partially completed
3336,Normal/Others,"WS/MP351/2025-2026/141857-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Vattipram Vayal Minnur Kshethra Road Tarring,2024-09-19,2026-02-19,1000000.0,Work partially Completed,1000000.0,WS/MP351/2025-2026/141857,980140.0,1.0,1.0,0.0,,0,980140.0,98.014,518.0,0.0,3.3333333333333335,4.548948965341558,980140.0,vattipram vayal minnur kshethra road tarring,1.0,1,work partially completed,1,0,1,-1,-0.14316753934052429,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Project is partially completed
1425,Normal/Others,WS/MP345/2024-2025/138116-Construction of buildings for crèches and anganwadies,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,Construction of Anganwadi building No. 83 of Panmana Grama Panchayat,2024-09-01,2025-03-15,1250000.0,Work partially Completed,1250000.0,WS/MP345/2024-2025/138116,493113.0,1.0,1.0,0.0,,0,493113.0,39.449040000000004,195.0,0.0,4.166666666666667,5.686186206676947,493113.0,construction of anganwadi building no 83 of panmana grama panchayat,1.0,1,work partially completed,1,0,1,-1,-0.14116340161829355,REVIEW,Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Unusually long recommendation-to-sanction delay; Project is partially completed
1649,Normal/Others,WS/MP479/2024-2025/138772-Development of playground,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Boundary fencing & 4Nos.of Solar Lights,2024-09-04,2024-12-13,2774787.0,Physical Inspection,2774787.0,WS/MP479/2024-2025/138772,2774787.0,1.0,1.0,0.0,,0,2774787.0,100.0,100.0,0.0,9.24929,7.279580978765603,2774787.0,boundary fencing 4nosof solar lights,1.0,1,physical inspection,1,1,0,-1,-0.13965345609595714,REVIEW,High spending while project remains incomplete; Sanction amount is unusually high for this work category; Sanction amount is unusually high compared with similar works in the state; Physical inspection status with incomplete project
4068,Normal/Others,WS/MP18219/2025-2026/143335-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,nakra me aafatpura tigela road par stainless steel (febricated) yatri shed,2024-11-19,2025-06-10,700000.0,Vendor Identification,700000.0,WS/MP18219/2025-2026/143335,416318.0,1.0,1.0,0.0,,0,416318.0,59.474000000000004,203.0,0.0,2.3333333333333335,2.9631636428287207,416318.0,nakra me aafatpura tigela road par stainless steel febricated yatri shed,1.0,42,vendor identification,1,0,0,-1,-0.1393200352451034,REVIEW,Sanction amount is significantly above category average; Unusually long recommendation-to-sanction delay; Vendor is associated with a large number of projects
4066,Normal/Others,WS/MP18219/2025-2026/143333-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,gadhau tigela NH road par stainless steel (febricated) yatri shed,2024-11-19,2025-06-10,700000.0,Vendor Identification,700000.0,WS/MP18219/2025-2026/143333,416318.0,1.0,1.0,0.0,,0,416318.0,59.474000000000004,203.0,0.0,2.3333333333333335,2.9631636428287207,416318.0,gadhau tigela nh road par stainless steel febricated yatri shed,1.0,42,vendor identification,1,0,0,-1,-0.1393200352451034,REVIEW,Sanction amount is significantly above category average; Unusually long recommendation-to-sanction delay; Vendor is associated with a large number of projects
4065,Normal/Others,WS/MP18219/2025-2026/143332-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,khairau kalan tigela road par stainless steel (febricated) yatri shed,2024-11-19,2025-06-10,700000.0,Vendor Identification,700000.0,WS/MP18219/2025-2026/143332,416318.0,1.0,1.0,0.0,,0,416318.0,59.474000000000004,203.0,0.0,2.3333333333333335,2.9631636428287207,416318.0,khairau kalan tigela road par stainless steel febricated yatri shed,1.0,42,vendor identification,1,0,0,-1,-0.1393200352451034,REVIEW,Sanction amount is significantly above category average; Unusually long recommendation-to-sanction delay; Vendor is associated with a large number of projects
4231,Normal/Others,WS/MP18219/2025-2026/143774-Construction of common work sheds/ common covered sitting area,Uttar Pradesh,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),AJENDRA SINGH LODHI,HAMIRPUR_UP,charkhari me supa tigela talab ke pass stainless steel (fabricated) yatri shed,2024-11-19,2025-06-10,700000.0,Vendor Identification,700000.0,WS/MP18219/2025-2026/143774,416318.0,1.0,1.0,0.0,,0,416318.0,59.474000000000004,203.0,0.0,2.3333333333333335,2.9631636428287207,416318.0,charkhari me supa tigela talab ke pass stainless steel fabricated yatri shed,1.0,42,vendor identification,1,0,0,-1,-0.1393200352451034,REVIEW,Sanction amount is significantly above category average; Unusually long recommendation-to-sanction delay; Vendor is associated with a large number of projects
